id,salary_in_usd
0,81596.073944847
1,144509.76515466894
2,111345.07720955185
3,76847.30195353532
4,44566.994014215954
5,37207.56627184556
6,169677.06851984432
7,30621.206537651648
8,113315.08919226368
9,162985.95925086096
10,-2500.1937256336823
11,162926.6261100065
12,129997.2178663165
13,5875.926350213471
14,75567.4418003741
15,32591.218520363487
16,117112.84926633863
17,154962.57140777758
18,33149.41351649081
19,88164.68852631796
20,103501.09206889464
21,52322.88292831418
22,118638.92300330251
23,172450.1672430415
24,14244.27838399775
25,17889.36278238494
26,100444.03466237662
27,234743.92036227073
28,55745.79423485093
29,156519.3899726995
30,139543.5826619073
31,128851.71707060204
32,102473.52010550548
33,45871.634344198406
34,58055.99515331356
35,37123.80608418081
36,188603.25210034387
37,12531.460185266085
38,72878.41803763586
39,180200.7400176818
40,-23526.04450576025
41,31911.037026645165
42,108312.85794476833
43,166644.84925506084
44,104419.01562190894
45,231309.6688931905
46,122990.01764200066
47,51262.8111347808
48,128851.71707060204
49,56255.62250443749
50,128792.38392974758
51,71670.42223352504
52,126648.90764620053
53,123932.77933674949
54,93555.08494581221
55,70718.26577060085
56,155862.05721563706
57,173877.16339075746
58,122768.23451524874
59,149170.9479466537
60,122768.23451524874
61,218396.65799232153
62,149170.9479466537
63,145195.96698712133
64,166811.57388997643
65,191943.0082244883
66,191943.0082244883
67,149170.9479466537
68,118793.25355571642
69,92333.8726734559
70,101358.23507937769
71,156921.52072129393
72,70181.847002776
73,60627.075924890276
74,74796.94928749868
75,119957.79837721714
76,47958.04338343686
77,74693.24673013316
78,94415.30174943911
79,145179.9097331562
80,23785.9457999675
81,33275.22650859023
82,286834.7697236962
83,188965.11227692885
84,97530.06590534456
85,77409.37503958422
86,77409.37503958422
87,155862.05721563706
88,149170.9479466537
89,129364.77401184183
90,64710.77546545339
91,44528.561597850356
92,114991.68401486649
93,54600.29343913647
94,149170.9479466537
95,164613.53177129128
96,20904.99344255175
97,75753.20626738938
98,38684.402607468735
99,122679.52859184227
100,149170.9479466537
101,122768.23451524874
102,122768.23451524874
103,191943.0082244883
104,155862.05721563706
105,32820.548301897514
106,118793.25355571642
