id,salary_in_usd
0,109440.92834756245
1,114272.38353148868
2,114272.38353148868
3,97936.51356139239
4,94250.66932927267
5,54642.73733716071
6,156748.37218427195
7,46770.330267129386
8,111348.28622214118
9,141993.60957830225
10,77978.44868274227
11,149311.46152656068
12,112810.33487681493
13,6042.670811590695
14,69516.55865258325
15,43846.232957781875
16,88171.24945147191
17,135269.92861727613
18,46347.76181959294
19,102836.30609598917
20,113078.25535359513
21,53013.1127469471
22,150024.69122324587
23,132019.58079747646
24,56881.66501208552
25,58932.56536409768
26,76784.32050484871
27,148117.33334866713
28,93764.45155817035
29,104332.65132622847
30,80678.92940787373
31,109337.00173558849
32,99357.65366486879
33,95399.3954382779
34,45639.85141280172
35,66305.82669824307
36,132019.58079747646
37,62673.818982104334
38,25618.1372105857
39,148236.39205811993
40,37574.1190898707
41,89315.28753337248
42,120515.1660113064
43,162991.15466408967
44,91658.14182027125
45,122303.4651764323
46,104179.29604121011
47,25618.1372105857
48,109337.00173558849
49,16838.236607653496
50,116654.85368384694
51,87789.58955513284
52,125176.84112699756
53,125295.89983645038
54,95667.3159150581
55,50356.9359143798
56,153017.1258832639
57,97574.67378963683
58,123507.60067132447
59,138262.36327729418
60,123507.60067132447
61,141838.96160754602
62,138262.36327729418
63,123388.54196187166
64,123388.54196187166
65,167771.88848923362
66,167771.88848923362
67,138262.36327729418
68,108633.77935590192
69,50356.9359143798
70,125176.84112699756
71,154479.17453793768
72,79450.50465441462
73,105274.18563423435
74,114435.74613350564
75,110422.07852102783
76,105274.18563423435
77,65230.75722980233
78,84489.15163934018
79,134075.80043938258
80,90519.42302826463
81,136245.75950084755
82,93388.11095172522
83,161797.02648619615
84,110541.13723048064
85,65111.69852034953
86,65111.69852034953
87,153017.1258832639
88,138262.36327729418
89,117837.29188752352
90,94324.32596983715
91,96202.33109641554
92,101731.8838795481
93,90291.11841694391
94,138262.36327729418
95,130334.54682137593
96,83146.16169411925
97,140050.66244242009
98,95667.3159150581
99,123388.54196187166
100,138262.36327729418
101,123507.60067132447
102,123507.60067132447
103,167771.88848923362
104,153017.1258832639
105,69734.38903337048
106,108633.77935590192
